Company,Company Type,Job Type,Job Title,Job Location,Python Importance,Python Exclusivity,Alternatives,Posting Indicates Use,How is Python Used?,How is Python Classified?,Working with Large Datasets,Data Extraction,Data Analysis,Modeling,Machine Learning,Automation,Data Visualization,Salary (Low),Salary (High),Bonus,Screenshot
AQR Capital Management,Investment Manager,Research,Global Stock Selection Research - Analyst,United States,Python Satisfies a Requirement,Listed Among Alternatives,High-level languages (Python preferred),1,Manipulating large financial data sets for empirical research.,High-level programming language,1,,,,,,,"$125,000 ","$135,000 ",1,https://drive.google.com/file/d/1YQnhR8IG1Zm_SEcPwNBrytaHSMNnIx8d/view?usp=drive_link
BlackRock,Investment Manager,Research,Associate- Quantitative Researcher,India,Python Satisfies a Requirement,Exclusive,N/A,0,N/A,Programming Language,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/18663Hf2BmEBVco602uxISmFIjRTkc9WX/view?usp=drive_link
Citi,Bank,Investment / Portfolio Management,MBS Desk Analyst,United States,Python Satisfies a Requirement,Exclusive,N/A,1,"Financial analysis and tool development; also possibly portfolio analytics, risk management, and portfolio monitoring",N/A,,,1,,,,,"$109,120 ","$163,680 ",1,https://drive.google.com/file/d/1XhsJupM6-_dh9TcssUBglkrYg3s6jZgI/view?usp=drive_link
JPMorganChase,Bank,Research,Credit Derivative and Index Research – Associate,United States,Python Satisfies a Requirement,Exclusive,N/A,0,N/A,Programming Language,,,,,,,,"$150,000 ","$200,000 ",0,https://drive.google.com/file/d/1A6KLLAIn01C441aVnw2rcUKTXQdGGMLx/view?usp=drive_link
JPMorganChase,Bank,Risk Management,Counterparty Risk - Legal Entity - Vice President,United Kingdom,Python Satisfies a Requirement,Exclusive,N/A,0,N/A,Programming Language,,,,,,,, N/A , N/A ,0,https://drive.google.com/file/d/1w2Xjx3C4oseaKKvoQk25MB2Ks7PQBShw/view?usp=drive_link
Royal Bank of Canada,Bank,Other,"Multi Asset Structuring, Transaction Management Group, Analyst",United Kingdom,Python Satisfies a Requirement,Exclusive,N/A,1,To streamline and automate processes and documents,N/A,,,,,,1,, N/A , N/A ,1,https://drive.google.com/file/d/1cf0HgcHEzd4L6gWKjjxeEhy2S7RbuXDO/view?usp=drive_link
Royal Bank of Canada,Bank,Treasury,"Senior Manager - Stress Testing & Treasury Analytics
",Trinidad and Tobago,Python Satisfies a Requirement,Exclusive,N/A,0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1WRYaXs08TNsXvZ-boGsQJ648AEaxAE8_/view?usp=drive_link
Royal Bank of Canada,Bank,Treasury,"Associate Director - Stress Testing & Treasury Analytics
",Canada,Python Satisfies a Requirement,Exclusive,N/A,0,N/A,N/A,,,,,,,, N/A , N/A ,1,https://drive.google.com/file/d/19udisDuQR8gU-t48EKkO4xqG4uyGIa5n/view?usp=drive_link
Blackstone,Private Equity Firms,Investment / Portfolio Management,"Multi-Strategy Platform, Risk Management Professional, Vice President",United States,Python Satisfies a Requirement,Exclusive,"C++ is a plus, but only Python is required.",0,N/A,Programming Language,,,,,,,,"$180,000 ","$225,000 ",1,https://drive.google.com/file/d/1Itdm4U9neZ6iM4Hgxdv-mXZIVJ9j_HA7/view?usp=drive_link
JPMorganChase,Bank,Investment / Portfolio Management,Wholesale Portfolio Analytics - Industry Analytics Analyst,United Kingdom,Python Satisfies a Requirement,Listed Among Alternatives,"R, SQL",1,"To analyze data with Spark, TensorFlow and PyTorch (machine learning frameworks), and Keras (a high-level interface for TensorFlow and PyTorch).",analytics and data tools,,,1,,1,,, N/A , N/A ,0,https://drive.google.com/file/d/1sXrX2q2WbnKkcCfoySxqirt0tS6u_-do/view?usp=drive_link
Amazon,Other,Finance,"Senior Financial Analyst, Customer Fulfillment Finance",France,Python Satisfies a Requirement,Listed Among Alternatives,"Power BI, SQL, Tableau",1,N/A,Large-scale data mining tools,1,,1,,,,, N/A , N/A ,1,https://drive.google.com/file/d/1R0vTfkrLZytbBFgAsuA3wWiXsHaYOFYi/view?usp=drive_link
